Bins,better,Far,Min_size,Max,Dist,Rest
2,zitler,0.65,0.5,1100,2.5,6
2,zitler,0.65,0.5,1100,3.0,2
2,zitler,0.65,0.5,1100,3.0,3
2,zitler,0.65,0.5,1100,3.0,4
2,zitler,0.65,0.5,1100,3.0,5
2,zitler,0.65,0.5,1100,3.0,6
2,zitler,0.65,0.5,1100,3.5,2
2,zitler,0.65,0.5,1100,3.5,3
2,zitler,0.65,0.5,1100,3.5,4
2,zitler,0.65,0.5,1100,3.5,5
2,zitler,0.65,0.5,1100,3.5,6
2,zitler,0.65,0.5,1100,4.0,2
2,zitler,0.65,0.5,1100,4.0,3
2,zitler,0.65,0.5,1100,4.0,4
2,zitler,0.65,0.5,1100,4.0,5
2,zitler,0.65,0.5,1100,4.0,6
2,zitler,0.65,0.5,1100,4.5,2
2,zitler,0.65,0.5,1100,4.5,3
2,zitler,0.65,0.5,1100,4.5,4
2,zitler,0.65,0.5,1100,4.5,5
2,zitler,0.65,0.5,1100,4.5,6
2,zitler,0.65,0.5,1600,0.5,2
2,zitler,0.65,0.5,1600,0.5,3
2,zitler,0.65,0.5,1600,0.5,4
2,zitler,0.65,0.5,1600,0.5,5
2,zitler,0.65,0.5,1600,0.5,6
2,zitler,0.65,0.5,1600,1.0,2
2,zitler,0.65,0.5,1600,1.0,3
2,zitler,0.65,0.5,1600,1.0,4
2,zitler,0.65,0.5,1600,1.0,5
2,zitler,0.65,0.5,1600,1.0,6
2,zitler,0.65,0.5,1600,1.5,2
2,zitler,0.65,0.5,1600,1.5,3
2,zitler,0.65,0.5,1600,1.5,4
2,zitler,0.65,0.5,1600,1.5,5
2,zitler,0.65,0.5,1600,1.5,6
2,zitler,0.65,0.5,1600,2.0,2
2,zitler,0.65,0.5,1600,2.0,3
2,zitler,0.65,0.5,1600,2.0,4
2,zitler,0.65,0.5,1600,2.0,5
2,zitler,0.65,0.5,1600,2.0,6
2,zitler,0.65,0.5,1600,2.5,2
2,zitler,0.65,0.5,1600,2.5,3
2,zitler,0.65,0.5,1600,2.5,4
2,zitler,0.65,0.5,1600,2.5,5
2,zitler,0.65,0.5,1600,2.5,6
2,zitler,0.65,0.5,1600,3.0,2
2,zitler,0.65,0.5,1600,3.0,3
2,zitler,0.65,0.5,1600,3.0,4
2,zitler,0.65,0.5,1600,3.0,5
2,zitler,0.65,0.5,1600,3.0,6
2,zitler,0.65,0.5,1600,3.5,2
2,zitler,0.65,0.5,1600,3.5,3
2,zitler,0.65,0.5,1600,3.5,4
2,zitler,0.65,0.5,1600,3.5,5
2,zitler,0.65,0.5,1600,3.5,6
2,zitler,0.65,0.5,1600,4.0,2
2,zitler,0.65,0.5,1600,4.0,3
2,zitler,0.65,0.5,1600,4.0,4
2,zitler,0.65,0.5,1600,4.0,5
2,zitler,0.65,0.5,1600,4.0,6
2,zitler,0.65,0.5,1600,4.5,2
2,zitler,0.65,0.5,1600,4.5,3
2,zitler,0.65,0.5,1600,4.5,4
2,zitler,0.65,0.5,1600,4.5,5
2,zitler,0.65,0.5,1600,4.5,6
2,zitler,0.65,0.5,2100,0.5,2
2,zitler,0.65,0.5,2100,0.5,3
2,zitler,0.65,0.5,2100,0.5,4
